record_no,batch_100,block_50,pmid,source_setting,year,journal,title,a_model,a_decision,a_confidence,a_reason,a_setting_seen,a_tasks,b_model,b_decision,b_confidence,b_reason,b_setting_seen,b_tasks,agree,either_include,setting_mismatch,run_utc
1,1,1,42126327,emergency_medicine,2026,JMIR Form Res,Regional Virtual Acute Care Helpline in Singapore at a National University Health System Virtual Care Centre: Retrospective Study.,anthropic/claude-sonnet-5,exclude,high,"Prehospital telephone triage model outcomes study, not ED/primary care clinician thinking.",neither,,openai/gpt-5.4,exclude,high,Service outcomes study; clinician cognition or decision processes not examined.,neither,telephone triage; escalation to doctors; call resolution; redirection to an ED; directly admitted,yes,no,yes,2026-09-22T22:59:40Z
2,1,1,17418593,primary_care,2007,Seizure,Men with epilepsy--the lost tribe? Results of a nationwide survey of men with epilepsy living in the UK.,anthropic/claude-sonnet-5,exclude,high,"Survey of patients' experiences, not clinician thinking or decisions.",neither,,openai/gpt-5.4,exclude,high,"Patient survey on experiences and satisfaction, not clinician thinking tasks.",neither,,yes,no,yes,2026-09-22T22:59:40Z
3,1,1,31256840,primary_care,2019,Am J Orthod Dentofacial Orthop,Referral patterns of pediatric dentists and general practitioners to orthodontists based on case complexity.,anthropic/claude-sonnet-5,exclude,high,"Dentists/orthodontists using vignette records, not EM/primary care physicians",neither,subjective judgments of case complexity; referral decisions,openai/gpt-5.4,exclude,high,"Simulation with pretreatment records, not real patient care; pediatric-focused dental setting.",neither,subjective judgments of orthodontic case complexity; decisions to refer the patient to an orthodontist; individual case referral decision,yes,no,yes,2026-09-22T22:59:40Z
4,1,1,29596129,primary_care,2018,Gastroenterol Nurs,Healthcare Transition in Pediatrics and Young Adults With Inflammatory Bowel Disease: A Scoping Review.,anthropic/claude-sonnet-5,exclude,high,"Pediatric healthcare transition topic, not clinician thinking task in EM/primary care.",neither,,openai/gpt-5.4,exclude,high,"Scoping review on patient transition readiness, not clinician thinking in adult EM/primary care.",neither,,yes,no,yes,2026-09-22T22:59:40Z
5,1,1,38851215,primary_care,2024,Age Ageing,Stakeholder perceptions of and attitudes towards problematic polypharmacy and prescribing cascades: a qualitative study.,anthropic/claude-sonnet-5,include,low,Explores clinician perceptions of prescribing decisions and medication reconciliation.,primary care,balancing risk/benefit; medication reconciliation; interpreting ADRs as new symptoms,openai/gpt-5.4,include,high,"Examines clinicians’ prescribing, risk-benefit balancing, and medication reconciliation in real care.",primary care,misinterpreted as a new symptom; Balancing the risk/benefit tipping point; medication reconciliation; prescribing decisions,yes,yes,no,2026-09-22T22:59:40Z
6,1,1,37487154,primary_care,2023,Prof Case Manag,Generating Team-Based Strategies to Reduce Health Inequity in Cancer Care.,anthropic/claude-sonnet-5,exclude,high,"Oncology setting, quality improvement/equity initiative, not EM/primary care clinician thinking task.",neither,,openai/gpt-5.4,exclude,high,Oncology quality-improvement; not adult EM or primary care setting.,neither,identify and support diverse patients' individualized goals and preferences; shared decision-making; recognize gaps; identify ways to improve patient-centered care,yes,no,yes,2026-09-22T22:59:40Z
7,1,1,27823694,emergency_medicine,2016,Am Heart J,Design and rationale for the Acute Congestive Heart Failure Urgent Care Evaluation: The ACUTE Study.,anthropic/claude-sonnet-5,include,high,Compares physician clinical risk judgment to validated risk score in ED,emergency medicine,"physician-judged risk estimates, based on clinical judgment alone",openai/gpt-5.4,include,low,Examines physician-judged risk estimation in ED heart failure care.,emergency medicine,physician-judged risk estimates; clinical judgment alone,yes,yes,no,2026-09-22T22:59:40Z
8,1,1,30531320,primary_care,2019,AIDS,Postpartum HIV care continuum outcomes in the southeastern USA.,anthropic/claude-sonnet-5,exclude,high,"Outcomes study of HIV care continuum, not clinician thinking task",neither,,openai/gpt-5.4,exclude,high,"Studies postpartum HIV outcomes, not clinician thinking or decisions.",neither,,yes,no,yes,2026-09-22T22:59:40Z
9,1,1,28636092,emergency_medicine,2017,Haemophilia,Impact of diagnosis of von Willebrand disease on patient outcomes: Analysis of medical insurance claims data.,anthropic/claude-sonnet-5,exclude,high,"Claims data outcomes study, not clinician thinking/decision-making process.",neither,,openai/gpt-5.4,exclude,high,Claims outcomes study; no clinician cognitive process or behavior examined.,unclear,diagnose; Misrecognition of VWD,yes,no,no,2026-09-22T22:59:40Z
10,1,1,36153031,primary_care,2022,BMJ Open,Healthcare costs of adverse drug reactions and potentially inappropriate prescribing in older adults: a population-based study.,anthropic/claude-sonnet-5,exclude,high,"Cost analysis of PIP/ADRs, no clinician thinking or decision-making studied.",primary care,,openai/gpt-5.4,exclude,high,Cost/prevalence study; no clinician thinking or decision process examined.,both,,yes,no,no,2026-09-22T22:59:40Z
11,1,1,25287831,emergency_medicine,2014,J Clin Oncol,End-of-life care for older patients with ovarian cancer is intensive despite high rates of hospice use.,anthropic/claude-sonnet-5,exclude,high,"Population-level outcomes study, not clinician thinking or setting relevant.",neither,,openai/gpt-5.4,exclude,high,Utilization trends only; no clinician cognition or decision-making studied.,neither,,yes,no,yes,2026-09-22T22:59:40Z
12,1,1,30654741,emergency_medicine,2019,BMC Emerg Med,Ceilings of treatment: a qualitative study in the emergency department.,anthropic/claude-sonnet-5,include,high,Studies ED clinicians' decision-making on treatment ceiling limitations.,emergency medicine,Decision-making; ceiling of treatment institution,openai/gpt-5.4,include,high,Qualitative study of ED consultants' treatment-limitation decision-making factors.,emergency medicine,decision-making; ceiling of treatment decisions,yes,yes,no,2026-09-22T22:59:40Z
13,1,1,39661529,emergency_medicine,2025,Diagnosis (Berl),Harbingers of sepsis misdiagnosis among pediatric emergency department patients.,anthropic/claude-sonnet-5,exclude,high,"Pediatric population only; prevalence/pattern analysis, not clinician cognition.",neither,,openai/gpt-5.4,exclude,high,Pediatric-only harbinger analysis; no clinician thinking or behavior data.,emergency medicine,,yes,no,no,2026-09-22T22:59:40Z
14,1,1,34891754,primary_care,2021,Annu Int Conf IEEE Eng Med Biol Soc,Novel Dynamic Prediction of Daily Patient Discharge in Acute and Critical Care.,anthropic/claude-sonnet-5,exclude,high,"Algorithm prediction study, not clinician thinking; ICU/acute-home, not ED/primary care.",neither,,openai/gpt-5.4,exclude,high,Algorithm predicts discharge; no clinician thinking or behavior studied.,neither,Determining when a patient can be discharged,yes,no,yes,2026-09-22T22:59:40Z
15,1,1,27128643,primary_care,2016,MCN Am J Matern Child Nurs,Effectiveness of Discharge Education on Postpartum Depression.,anthropic/claude-sonnet-5,exclude,high,"Nursing patient education intervention study, not clinician thinking task, wrong setting.",neither,,openai/gpt-5.4,exclude,high,Patient education intervention; no clinician thinking task studied.,neither,,yes,no,yes,2026-09-22T22:59:40Z
16,1,1,31664446,primary_care,2019,JAMA Netw Open,Association of Race/Ethnicity With Hospital Discharge Disposition After Elective Total Knee Arthroplasty.,anthropic/claude-sonnet-5,exclude,high,"Outcome disparities study, not clinician thinking; also surgical inpatient setting.",neither,,openai/gpt-5.4,exclude,high,"Studies discharge outcomes disparities, not clinician thinking or decision processes.",neither,,yes,no,yes,2026-09-22T22:59:40Z
17,1,1,24261271,primary_care,2013,Int J Psychiatry Med,An innovative model for systems-based curriculum: the complex continuity clinic.,anthropic/claude-sonnet-5,exclude,high,"Medical education curriculum model, not clinician thinking task study.",unclear,,openai/gpt-5.4,exclude,high,Medical education model; no studied clinician thinking in real care.,neither,recognition of multiple variables; understanding and responding to complexity,yes,no,no,2026-09-22T22:59:40Z
18,1,1,28362643,primary_care,2017,Crit Care Med,Simulation of a Novel Schedule for Intensivist Staffing to Improve Continuity of Patient Care and Reduce Physician Burnout.,anthropic/claude-sonnet-5,exclude,high,"ICU staffing scheduling simulation, not clinician thinking task; also ICU-only setting.",neither,,openai/gpt-5.4,exclude,high,Simulation of ICU staffing; no real clinician thinking task data.,neither,,yes,no,yes,2026-09-22T22:59:40Z
19,1,1,30084607,primary_care,2016,Health Serv J,Seeing the High Street's Potential.,anthropic/claude-sonnet-5,exclude,high,"Discusses eye care service delivery, not clinician thinking tasks.",primary care,,openai/gpt-5.4,exclude,high,No clinician thinking task or study data described.,primary care,,yes,no,no,2026-09-22T22:59:40Z
20,1,1,42509163,primary_care,2026,Ann Fam Med,Continuity at the Incision: Why Cesarean Delivery Belongs in Family Medicine.,anthropic/claude-sonnet-5,exclude,high,"Reflective essay on scope of practice, not clinician thinking task",primary care,,openai/gpt-5.4,exclude,high,Reflective commentary; no real patient-care clinician thinking task studied.,primary care,whether operative maternity care remains part of their role,yes,no,no,2026-09-22T22:59:40Z
